                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.35459,                0.28204,                0.84152,                0.99828,                      1,                  0.995,                0.91447,                0.42457,                0.24091,                0.83996,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33804,                0.26926,                0.79331,                0.99829,                      1,                  0.995,                0.90392,                0.44885,                0.23906,                0.84652,              0.0002378,              0.0002378,              0.0002378
                     92,                0.29627,                0.23858,                0.78985,                0.99824,                      1,                  0.995,                0.90114,                0.44722,                 0.2428,                 0.8504,               0.000218,               0.000218,               0.000218
                     93,                0.28416,                0.24495,                0.77731,                0.99817,                      1,                  0.995,                0.91485,                0.43723,                0.25256,                0.84512,              0.0001982,              0.0001982,              0.0001982
                     94,                0.28087,                0.23568,                0.78886,                0.99806,                      1,                  0.995,                0.90476,                0.44504,                0.25062,                 0.8482,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2594,                0.20891,                0.78024,                0.99808,                      1,                  0.995,                0.90447,                0.44467,                0.23907,                0.84322,              0.0001586,              0.0001586,              0.0001586
                     96,                0.26714,                0.23803,                0.77902,                0.99813,                      1,                  0.995,                0.90331,                 0.4374,                0.24456,                 0.8411,              0.0001388,              0.0001388,              0.0001388
                     97,                0.28821,                0.23149,                0.79042,                0.99816,                      1,                  0.995,                0.89805,                0.43967,                0.23833,                0.84142,               0.000119,               0.000119,               0.000119
                     98,                0.28739,                 0.2169,                0.78338,                0.99818,                      1,                  0.995,                0.89605,                0.44549,                0.23481,                0.84101,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.25457,                0.20966,                0.77463,                0.99813,                      1,                  0.995,                0.89126,                0.44998,                0.23367,                0.84183,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.24006,                 0.2401,                 0.7863,                0.99818,                      1,                  0.995,                0.90566,                0.45389,                0.22802,                0.84314,               5.96e-05,               5.96e-05,               5.96e-05
